code UAI;n° SIRET;type d'établissement;nom;sigle;statut;tutelle;université de rattachement libellé et UAI;université de rattachement ID et URL Onisep;établissements liés libellés;établissements liés URL et ID Onisep;boîte postale;adresse;CP;commune;commune (COG);cedex;telephone;arrondissement;département;académie;région;région (COG);longitude (X);latitude (Y);journées portes ouvertes;langues enseignées;URL et ID Onisep;date création;date de modification
0240025X;19240025700015;lycée général, technologique ou polyvalent;Lycée Laure Gatet;;public;Ministère chargé de l'Éducation nationale;;;Collège Laure Gatet à Périgueux (24);https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12846;BP 80089;25 avenue Georges Pompidou;24003;Périgueux;24322;Cedex;05 53 02 47 00;;Dordogne;Bordeaux;Nouvelle-Aquitaine;75;0.724342;45.1901;;Allemand, Anglais, Chinois, Espagnol, Italien, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9237;06/06/2020;29/01/2026
0381742M;77568873200673;lycée professionnel;Institut d'éducation motrice et de formation professionnelle du Chevalon de Voreppe;IEM-FP APF;privé hors contrat;;;;;;;100 Chemin Malsouche;38340;Voreppe;38565;;04 76 50 00 90;;Isère;Grenoble;Auvergne-Rhône-Alpes;84;5.648709;45.280236;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19642;06/06/2020;12/07/2024
0755057P;43332219500010;école d'art;Itecom Art Design;;privé hors contrat;;;;;;;12 rue du 4 septembre;75002;Paris;75100;;01 58 62 51 51;02;Paris;Paris;Ile-de-France;11;2.33746;48.8695;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18428;06/06/2020;05/01/2026
0783455G;42143242800017;lycée agricole;Lycée agricole du CHEP - 'L'École du savoir vert';;privé sous contrat;Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire;;;;;;43 rue du général de Gaulle;78490;Le Tremblay-sur-Mauldre;78623;;01 34 87 99 09;;Yvelines;Versailles;Ile-de-France;11;1.87975;48.7705;;Anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17805;06/06/2020;23/01/2025
;48974881400022;école de la deuxième chance;École de la 2e chance du Territoire de Belfort;E2C;public;Ministère chargé de l'Éducation nationale;;;;;;10 rue de Londres;90000;Belfort;90010;;03 84 27 58 67;;Territoire-de-Belfort;Besançon;Bourgogne-Franche-Comté;27;6.8431112000001;47.6306131;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16535;06/06/2020;13/10/2025
0141553M;19141553800013;collège;Collège Stephen Hawking;;public;Ministère chargé de l'Éducation nationale;;;;;;22 avenue du 19 mars 1962;14123;Fleury-sur-Orne;14271;;02 31 82 25 42;;Calvados;Normandie;Normandie;28;-0.360231;49.1573;;Allemand, Anglais, Espagnol, Italien, Langues et cultures de l'Antiquité : latin;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14807;06/06/2020;06/09/2024
0711490J;19711490300010;collège;Collège Vivant Denon;;public;Ministère chargé de l'Éducation nationale;;;;;;44 rue Léon Pernot;71380;Saint-Marcel;71445;;03 85 96 54 75;;Saône-et-Loire;Dijon;Bourgogne-Franche-Comté;27;4.88462;46.773;;Allemand, Anglais, Espagnol, Langues et cultures de l'Antiquité : grec, Langues et cultures de l'Antiquité : latin, Langues et cultures européennes : anglais;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10259;06/06/2020;09/06/2026
0312994L;80786008500024;centre de formation professionnelle;JEKA formation;;privé;;;;;;;Route de grenade, Golf de Seilh;31840;Seilh;31541;;07 71 92 92 52;;Haute-Garonne;Toulouse;Occitanie;76;1.3498055934906;43.696843259842;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17242;06/06/2020;22/05/2026
9740078S;19974098600021;lycée agricole;Lycée agricole Émile Boyer de la Giroday;;public;Ministère de l'agriculture, de l'agro-alimentaire et de la souveraineté alimentaire;;;;;CS 91037;165 route de Mafate;97864;Saint-Paul;97415;;02 62 45 92 92;;La Réunion;La Réunion;La Réunion;04;55.3012;-20.9688;;Allemand, Anglais, Espagnol;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15548;06/06/2020;08/12/2025
0597385G;79307691000082;autre établissement d'enseignement;Institut aéronautique Amaury de la Grange;IAAG;privé;;;;;;;81 rue Georges Clémenceau;59000;Lille;59350;;01 88 33 93 12;;Nord;Lille;Hauts-de-France;32;3.0802418;50.6211904;;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6666;06/06/2020;08/06/2026
